trip_distance,trip_distance_id
2.5,0
2.9,1
19.98,2
10.78,3
30.43,4
5.92,5
5.72,6
6.2,7
0.7,8
7.18,9
0.54,10
1.7,11
1.1,12
2.1,13
8.54,14
2.0,15
3.2,16
1.59,17
16.81,18
0.5,19
0.6,20
9.9,21
0.8,22
0.49,23
5.31,24
3.5,25
9.14,26
2.17,27
18.03,28
1.0,29
11.53,30
4.26,31
2.66,32
2.4,33
3.7,34
1.3,35
9.2,36
0.79,37
0.95,38
6.9,39
3.11,40
3.8,41
2.8,42
1.21,43
1.31,44
2.7,45
5.39,46
2.82,47
2.07,48
7.7,49
5.1,50
3.34,51
2.69,52
0.71,53
1.42,54
4.28,55
1.84,56
3.95,57
3.65,58
9.46,59
0.48,60
19.35,61
11.25,62
2.2,63
4.65,64
1.8,65
10.34,66
6.8,67
1.4,68
6.3,69
5.52,70
3.4,71
9.79,72
1.04,73
10.2,74
2.54,75
1.32,76
1.51,77
1.16,78
0.89,79
7.06,80
5.57,81
0.99,82
2.81,83
2.45,84
2.61,85
0.73,86
1.92,87
3.25,88
4.83,89
2.46,90
2.85,91
4.33,92
5.06,93
9.5,94
0.55,95
1.5,96
1.2,97
5.4,98
1.43,99
2.99,100
0.46,101
2.91,102
0.9,103
4.76,104
4.51,105
2.3,106
5.66,107
1.47,108
18.34,109
1.74,110
20.2,111
3.37,112
18.95,113
3.32,114
3.9,115
0.2,116
7.91,117
10.0,118
1.07,119
9.1,120
18.9,121
0.58,122
2.59,123
5.98,124
0.42,125
9.55,126
0.35,127
8.97,128
3.49,129
1.53,130
3.77,131
1.65,132
1.96,133
1.6,134
5.14,135
2.51,136
18.3,137
3.3,138
0.93,139
3.22,140
2.23,141
4.44,142
11.43,143
1.37,144
2.38,145
1.91,146
2.31,147
1.33,148
4.09,149
4.14,150
6.94,151
0.92,152
2.36,153
1.56,154
2.19,155
3.87,156
1.13,157
1.19,158
1.22,159
1.03,160
0.85,161
4.94,162
1.15,163
2.77,164
2.72,165
0.41,166
0.75,167
1.62,168
0.88,169
4.84,170
0.3,171
17.49,172
1.63,173
1.02,174
3.17,175
11.15,176
12.59,177
2.67,178
0.83,179
0.53,180
18.04,181
3.28,182
2.05,183
0.94,184
0.72,185
1.18,186
1.57,187
4.85,188
0.56,189
2.58,190
2.89,191
2.55,192
0.61,193
1.06,194
1.26,195
3.05,196
12.92,197
1.28,198
2.01,199
5.54,200
0.86,201
15.18,202
3.14,203
3.13,204
2.94,205
4.79,206
2.53,207
2.02,208
4.21,209
0.67,210
6.38,211
1.08,212
7.4,213
1.29,214
1.41,215
